Company_Name,Ticker,Stock_Exchange,Revenue,Net_Income,Net_Prof_Margin,ROI,EBITDA,LT_Debt,SH_Equity,Curr_Ratio,Rev_per_Emp,,,,
Alphabet Inc,GOOG L,NMS,110.86,12.662,11.42,17.46,32.905,3.969,152.50,5.14,1.383785,,,,
Amazon.com Inc,AMZN,NMS,177.87,3.033,1.71,8.2,13.252,37.926,27.709,1.04,0.314251,,,,
American International Group Inc,AIG,NYS,49.52,-6.084,-12.29,0,0,0,65.171,-,0.994378,,,,
AmerisourceBergen Corp.,ABC,NYS,153.14,0.364484,0.24,17.01,1.325492,3.781569,2.064461,0.91,7.657191,,,,
Anthem Inc,ANTM,NYS,90.0394,3.8428,4.27,10.78,5.4722,17.3822,26.5029,1.55,1.607846,,,,
Apple Inc,AAPL,NMS,229.23,48.351,21.09,25.96,71.368,97.207,134.05,1.28,1.833551,,,,
Archer Daniels Midland Co.,ADM,NYS,60.828,1.595,2.62,5.37,2.179,6.623,18.313,1.59,1.943387,,,,
AT&T Inc,T,NYS,160.55,29.45,18.34,7.59,41.328,125.97,140.86,0.97,0.637087,,,,
Bank of America Corp,BAC,NYS,100.26,18.232,18.18,0,0,0,267.15,-,0.479732,,,,
Berkshire Hathaway Inc,BRK A,NYS,242.14,44.94,18.56,0,0,0,348.30,-,0.642273,,,,
Boeing Co. (The),BA,NYS,93.392,8.197,8.78,90.4,11.751,9.782,0.355,1.16,0.663295,,,,
"Cardinal Health, Inc.",CAH,NYS,129.98,1.288,0.99,14.47,2.439,9.068,6.808,1.34,3.217228,,,,
Caterpillar Inc.,CAT,NYS,45.462,0.754,1.66,10.26,7.814,23.847,13.697,1.35,0.462012,,,,
Centene Corp,CNC,NYS,48.382,0.828,1.71,10.85,1.706,4.695,6.85,0.93,1.435668,,,,
Chevron Corporation,CVX,NYS,141.72,9.195,6.49,5.03,28.877,33.571,148.12,1.03,2.730674,,,,
Cisco Systems Inc,CSCO,NMS,48.005,9.609,20.02,12.5,12.069,25.725,66.137,3.03,0.660314,,,,
Citigroup Inc,C,NYS,87.966,-6.798,-7.73,0,0,0,200.74,-,0.42089,,,,
